GEONR;GEONAME;CLASS_HAB;VARIABLE;VALUE;STATUS
4021;Baden;3;depc_pat_cul;1675;A
4021;Baden;3;depc_cula;9262;A
4021;Baden;3;depc_med;0;A
4021;Baden;3;depc_spo;6261;A
4021;Baden;3;depc_egl;0;A
4021;Baden;3;depic_t;6113;A
4021;Baden;3;depic_pat_cul;14;A
4021;Baden;3;depic_cula;4596;A
4021;Baden;3;depic_med;0;A
4021;Baden;3;depic_spo;1504;A
4021;Baden;3;depic_egl;0;A
2765;Binningen;3;depc_t;4387;A
2765;Binningen;3;depc_pat_cul;481;A
2765;Binningen;3;depc_cula;362;A
2765;Binningen;3;depc_med;925;A
2765;Binningen;3;depc_spo;2619;A
2765;Binningen;3;depc_egl;0;A
2765;Binningen;3;depic_t;0;A
2765;Binningen;3;depic_pat_cul;0;A
2765;Binningen;3;depic_cula;0;A
2765;Binningen;3;depic_med;0;A
2765;Binningen;3;depic_spo;0;A
2765;Binningen;3;depic_egl;0;A
404;Burgdorf;3;depc_t;11180;A
404;Burgdorf;3;depc_pat_cul;172;A
404;Burgdorf;3;depc_cula;7698;A
404;Burgdorf;3;depc_med;28;A
404;Burgdorf;3;depc_spo;3283;A
404;Burgdorf;3;depc_egl;0;A
404;Burgdorf;3;depic_t;7552;A
404;Burgdorf;3;depic_pat_cul;0;A
404;Burgdorf;3;depic_cula;6700;A
404;Burgdorf;3;depic_med;8;A
404;Burgdorf;3;depic_spo;845;A
404;Burgdorf;3;depic_egl;0;A
1702;Cham;3;depc_t;4757;A
1702;Cham;3;depc_pat_cul;39;A
1702;Cham;3;depc_cula;2546;A
1702;Cham;3;depc_med;0;A
1702;Cham;3;depc_spo;2173;A
1702;Cham;3;depc_egl;0;A
1702;Cham;3;depic_t;0;A
1702;Cham;3;depic_pat_cul;0;A
